שם נקודה,Y,X
4318,351.530,499.180
4317,371.420,384.970
191,402.320,399.600
188,420.130,321.680
184,452.630,285.800
214,499.380,234.020
3622,534.050,167.280
3621,586.160,108.760
1253,655.890,723.770
1252,757.230,652.420
116A,592.470,668.390
87,486.330,658.720
B,434.210,613.330
C,405.130,525.960
3627,557.460,424.930
4182,537.470,300.710
155,498.240,375.220
158,463.790,428.640
163,450.850,493.270
675R,149.100,459.270
605L,560.720,445.660
A,547.460,491.410
17,619.910,503.650
23,644.950,542.080
56,654.540,579.770
35A,569.590,572.330
36,527.110,562.600
93,393.220,630.680
99,419.790,702.840
P3,414.500,728.200
P4,386.420,775.870
1256,371.890,817.000
1257,333.760,204.480
217,613.340,119.380
216,499.380,234.020
209,584.630,382.240
208,574.040,363.820
206,566.480,350.680
171,533.010,309.720
172,533.010,292.480
192,520.320,270.430
180,502.370,234.020
4184,615.040,505.740
210,609.410,427.290
51,587.070,604.130
1,609.410,427.290
2,650.990,464.960
4,681.390,492.470
5,695.480,505.250
V,704.460,514.200
VI,743.440,549.820
IX,753.770,559.260
11,772.240,574.790
6,700.670,509.950
8,724.800,531.810
10,745.110,550.760
232,759.290,563.510
231,757.160,567.770
149,556.670,402.540
150,540.100,403.740
146,538.780,375.220
148,543.920,355.140
147,549.860,363.170
156,523.410,331.150
151,508.900,343.740
152,511.220,350.440
153,483.410,403.380
154,474.000,405.800
157,458.790,446.660
161,455.320,461.270
162,453.160,473.670
160,440.080,503.720
108A,418.110,599.240
108,430.500,592.370
107A,409.510,579.470
107,422.770,574.850
144,403.330,528.090
145A,414.160,527.530
145,403.330,559.530
143,735.910,635.910
113A,504.180,665.220
113,508.340,651.790
114A,529.980,670.180
114,531.800,656.270
115A,561.060,671.750
117A,622.440,661.270
119A,679.980,638.450
120A,707.340,625.270
20,662.930,504.910
78,741.980,601.240
77,749.940,593.570
76,761.850,579.660
125DN,87.440,75.240
135,658.920,675.820
137,674.980,669.760
138,694.230,661.430
139,706.720,654.970
140,719.700,646.940
142,730.100,639.830
15,799.080,599.100
15B,815.200,598.000
15A,812.620,592.220
12S1,813.440,577.180
230,766.230,573.140
229,778.320,580.300
12,767.240,571.570
65,717.480,599.610
66,698.880,610.090
120,699.660,611.480
119,674.040,625.800
75,657.950,605.020
63,713.000,578.730
19,634.850,523.800
I,633.590,524.650
21,653.460,492.320
II,625.910,512.860
31,636.620,545.640
