שם נקודה,Y,X,סוג
407,127900.280,156573.700,ישנה
408,127900.350,156565.450,ישנה
409,127905.680,156575.490,ישנה
412,127812.770,156577.380,ישנה
7184,161986.000,649392.000,ישנה
027T,192538.830,639423.870,ישנה
410M,179826.665,638833.172,ישנה
425M,180318.680,654953.760,ישנה
457M,172641.588,649064.990,ישנה
1528K,175889.929,660193.273,ישנה
1229W,171008.440,637674.755,ישנה
426M,197608.150,650707.040,ישנה
1177K,194613.980,659004.760,ישנה
0832,177904.306,656545.695,חדשה
0833,177800.520,656550.226,חדשה
0834,177895.023,656627.657,חדשה
832H,177904.306,656545.695,חדשה
833H,177800.520,656550.226,חדשה
830H,177797.701,656584.793,חדשה
831H,177896.457,656582.709,ידועה
834H,177895.054,656627.647,חדשה
831HL,177896.451,656582.709,ידועה
831HR,177698.943,656586.877,ידועה
X2,177865.089,656589.278,ידועה
X2R,177730.316,656580.309,ידועה
X1,177828.599,656583.259,ידועה
X1R,177766.804,656586.325,ידועה
833HL,177800.521,656550.234,ידועה
833HR,177794.885,656619.352,ידועה
1,177824.053,656581.945,חדשה
2,177823.789,656581.678,חדשה
3,177817.507,656581.882,חדשה
4,177824.099,656583.510,חדשה
5,177822.012,656583.574,חדשה
6,177815.260,656582.052,חדשה
7,177802.014,656582.605,חדשה
8,177798.297,656582.915,חדשה
9,177796.858,656582.876,חדשה
830HL,177797.703,656584.792,ידועה
830HR,177859.494,656581.725,ידועה
29,177733.685,656588.503,חדשה
30,177733.116,656588.350,חדשה
31,177732.771,656587.862,חדשה
32,177738.700,656595.043,חדשה
33,177749.500,656596.906,חדשה
34,177754.048,656600.177,חדשה
35,177753.013,656601.643,חדשה
36,177752.977,656601.587,חדשה
37,177753.206,656603.213,חדשה
38,177747.368,656597.164,חדשה
39,177770.758,656586.544,חדשה
40,177790.931,656596.810,חדשה
41,177797.324,656598.500,חדשה
42,177803.310,656598.093,חדשה
43,177803.660,656598.084,חדשה
44,177812.409,656595.504,חדשה
45,177813.450,656597.461,חדשה
46,177832.885,656596.706,חדשה
47,177831.757,656594.702,חדשה
48,177834.692,656592.656,חדשה
49,177834.637,656592.690,חדשה
50,177835.231,656590.192,חדשה
51,177835.645,656589.887,חדשה
52,177836.132,656589.718,חדשה
53,177846.315,656589.383,חדשה
54,177855.783,656589.253,חדשה
55,177853.966,656582.762,חדשה
56,177844.738,656582.931,חדשה
57,177844.687,656582.371,חדשה
58,177844.676,656581.740,חדשה
59,177844.470,656580.743,חדשה
60,177845.131,656580.753,חדשה
61,177846.348,656580.779,חדשה
62,177742.477,656587.707,חדשה
63,177799.747,656577.912,חדשה
64,177799.350,656571.720,חדשה
65,177805.975,656577.625,חדשה
67,177823.492,656561.460,חדשה
68,177859.494,656581.725,חדשה
69,177823.492,656561.460,חדשה
70,177843.453,656561.592,חדשה
71,177844.189,656559.046,חדשה
72,177843.255,656553.508,חדשה
73,177844.795,656551.714,חדשה
74,177844.331,656571.728,חדשה
75,177844.354,656572.643,חדשה
76,177847.213,656574.358,חדשה
77,177850.681,656574.314,חדשה
78,177795.520,656560.490,חדשה
79,177790.910,656561.220,חדשה
80,177787.970,656561.320,חדשה
81,177787.800,656561.280,חדשה
82,177803.820,656561.750,חדשה
83,177823.390,656551.590,חדשה
84,177823.190,656549.670,חדשה
85,177790.240,656550.420,חדשה
86,177786.650,656552.410,חדשה
87,177786.250,656550.550,חדשה
88,177783.560,656553.010,חדשה
89,177861.677,656552.350,חדשה
90,177866.168,656551.111,חדשה
91,177866.151,656552.405,חדשה
92,177865.938,656552.467,חדשה
93,177871.543,656580.784,חדשה
94,177883.542,656580.948,חדשה
95,177885.072,656580.935,חדשה
96,177884.990,656582.758,חדשה
97,177880.702,656592.556,חדשה
98,177859.412,656582.743,חדשה
99,177871.776,656575.628,חדשה
100,177871.002,656572.573,חדשה
101,177870.997,656569.292,חדשה
102,177874.309,656569.319,חדשה
103,177871.038,656564.351,חדשה
104,177871.035,656560.992,חדשה
105,177871.352,656558.041,חדשה
830S,177797.701,656584.793,ידועה
830ER,177995.208,656580.630,ידועה
832HL,177904.308,656545.692,ידועה
832HR,177888.613,656619.721,ידועה
106,177880.634,656595.554,חדשה
107,177882.092,656594.580,חדשה
108,177871.000,656569.290,חדשה
109,177815.260,656582.050,חדשה
110,177802.010,656582.600,חדשה
111,177798.300,656582.920,חדשה
112,177796.860,656582.880,חדשה
113,177792.510,656583.080,חדשה
114,177791.220,656582.490,חדשה
115,177790.280,656582.550,חדשה
116,177790.140,656583.180,חדשה
117,177790.050,656583.170,חדשה
118,177789.200,656574.540,חדשה
119,177789.550,656569.760,חדשה
120,177785.300,656577.760,חדשה
121,177778.670,656584.260,חדשה
122,177790.550,656585.290,חדשה
123,177790.930,656590.290,חדשה
124,177914.098,656591.215,חדשה
125,177909.875,656589.482,חדשה
126,177904.818,656591.360,חדשה
127,177901.766,656596.482,חדשה
128,177896.619,656582.798,חדשה
129,177896.695,656581.083,חדשה
